RMS,MAV,WL,ZC,SSC,IEMG,VAR,STD,MAX,MIN,MEAN,SKEW,KURT,MEDIAN,Arm,Gender
0.200954123,0.123839302,630.4793788,1718,4222,2476.786031,0.040382546,0.200954089,1.960832112,-1.196677099,-0.000117024,0.676385462,9.584041991,-0.002491265,Right,female
0.352854169,0.244809661,1139.604129,1475,3795,4896.193226,0.124506065,0.352854169,2.467348475,-1.622340029,8.44122E-06,0.294321619,3.707858659,0.000325641,Left,female
0.1252147,0.084442342,299.4394971,1204,2263,844.4234246,0.015678639,0.125214373,1.150570519,-0.84359154,0.000286176,0.549417107,7.678625983,-0.001938029,Right,female
0.075408892,0.048670228,200.4520655,1464,2296,486.7022768,0.0056865,0.075408882,0.829709069,-0.79919767,-3.85035E-05,-0.31756689,17.76663066,0.00135801,Left,female
0.287810396,0.223088017,523.7326115,739,1768,2230.88017,0.082834822,0.287810393,1.608461407,-1.094871307,-4.00299E-05,0.295280123,0.873556507,-0.010785629,Right,female
0.334995587,0.263074223,568.5943248,718,1682,2630.742232,0.112222043,0.334995586,1.138620248,-1.212698313,-1.70878E-05,0.102537325,0.20948524,-0.004619402,Left,female
0.247429978,0.157392158,421.9386666,1078,2039,1573.921584,0.061221594,0.247429978,1.60438383,-1.249018906,-8.18076E-06,0.343551906,4.517345259,-0.000117998,Right,female
0.342136181,0.195355755,507.0436056,1150,1936,1953.557553,0.117057161,0.342136173,2.560673809,-1.740592816,-7.35226E-05,0.509776402,6.247779382,0.000653726,Left,female
0.25632018,0.185593349,472.5118494,896,1866,1855.933487,0.065699967,0.256320049,1.460716254,-0.890824137,0.000258941,0.441511549,1.60776065,-0.00745122,Right,female
0.299483669,0.207224269,514.9599438,937,1865,2072.242688,0.089690357,0.299483483,1.60734416,-1.444282146,-0.000333283,0.260981421,2.878805477,-0.003789077,Left,female
0.156633958,0.093082409,322.7159676,1220,2110,930.8240947,0.02453414,0.156633777,1.33917471,-1.050968373,-0.00023789,0.408955456,11.90338541,-0.001750399,Right,female
0.150616531,0.079765983,291.1456199,1405,2253,797.6598314,0.022685253,0.150616243,1.335306168,-1.02827816,0.000294755,0.416347852,13.70389885,0.002191291,Left,female
0.378239597,0.290209577,657.0021087,717,1689,2902.095774,0.14306519,0.378239593,1.660565116,-1.224181968,-4.94813E-05,0.438277301,0.841403782,-0.022901725,Right,female
0.444753984,0.323175348,769.1331323,800,1636,3231.753481,0.197806086,0.444753961,2.9115431,-2.162226913,0.000141772,0.186007108,2.308628146,-0.006763122,Left,female
0.170989141,0.108133984,309.8220254,1141,2051,1081.339843,0.029237285,0.170989138,1.256954218,-1.208031869,-3.30858E-05,0.179656993,6.418175775,0.000868053,Right,female
0.151770707,0.095363907,286.5793136,1172,2140,953.6390672,0.023034343,0.151770691,1.140547855,-0.633631734,7.03154E-05,0.586638743,5.659543697,-0.001647853,Left,female
0.242521972,0.155899758,456.5286127,1070,1979,1558.997579,0.058816905,0.242521968,1.190583467,-1.369010971,-4.17013E-05,0.063861991,3.65547472,-0.000879252,Right,female
0.283309555,0.170705527,471.156612,1089,1941,1707.055267,0.080264251,0.283309461,1.631275526,-1.365892274,-0.000230389,0.280911704,4.582393731,0.000836644,Left,female
0.204799646,0.145993134,406.6499744,865,1828,1459.931339,0.041942881,0.204799612,1.196185651,-0.983593536,0.000117518,0.362796125,3.087250335,-0.003495463,Right,female
0.270850106,0.182410967,473.7879029,923,1862,1824.109666,0.073359772,0.270850092,1.863536709,-1.151451721,8.63524E-05,0.435725349,3.474094904,-0.001509683,Left,female
0.109396704,0.081059533,247.0379192,1017,2142,810.5953324,0.011967639,0.109396704,0.590749323,-0.646213839,1.54163E-06,0.130996195,2.239741537,-0.001742207,Right,female
0.155321219,0.103066821,301.8813702,1112,2016,1030.668212,0.024124619,0.155321018,0.836436527,-0.809691998,-0.000249635,0.169055993,3.65371472,9.08923E-06,Left,female
0.171830508,0.121526526,383.800457,1065,1965,1215.265261,0.029525608,0.171830172,1.045130602,-0.805530463,-0.00033959,0.214811437,3.073161816,-0.001670293,Right,female
0.198593227,0.120338322,382.0081067,1191,2052,1203.383219,0.039439267,0.198593221,1.289834265,-1.195586524,4.62113E-05,0.376774567,6.265082306,0.000699016,Left,female
0.246709311,0.17916086,484.1441685,923,1894,1791.608602,0.060865403,0.246709147,1.055700481,-1.095658791,0.000284493,0.252278824,1.50308761,-0.005311288,Right,female
0.264177968,0.193814101,527.2441202,899,1911,1938.141013,0.06978997,0.264177914,1.422544709,-1.073001501,0.000168062,0.31423886,1.86995579,0.000141894,Left,female
0.131914783,0.09532157,251.1767399,990,1992,953.2156993,0.01740147,0.13191463,0.627195753,-0.534701205,-0.000200859,0.25886962,1.925265058,-0.00145285,Right,female
0.200972666,0.146449823,371.7292002,964,1928,1464.498234,0.040389999,0.200972632,0.785714741,-0.843235306,-0.000118117,0.090672014,1.39925324,0.000131581,Left,female
0.216893762,0.155576419,442.6802439,948,1813,1555.764187,0.047042795,0.216893511,1.149689886,-0.881826366,0.000330077,0.358501115,2.328170859,-0.005355211,Right,female
0.24171968,0.163348855,488.9275446,1115,1947,1633.488553,0.058428377,0.241719624,1.401206599,-1.173388485,0.000164215,0.394148474,3.691206376,-0.00284488,Left,female
0.157548849,0.115107446,311.7324478,944,2009,1151.074459,0.024821571,0.15754863,0.770337578,-0.728895966,0.000262534,0.133103427,1.984337927,-0.000932194,Right,female
0.281413788,0.19941674,482.0554973,900,1761,1994.167402,0.07919371,0.28141377,1.775409837,-1.452806912,-9.85719E-05,0.210816379,3.019821374,0.000911543,Left,female
0.173773808,0.123366004,390.5167065,1072,1971,1233.660045,0.030197174,0.173773342,1.154911918,-0.92106121,-0.000402506,0.374449961,2.957911149,-0.003400658,Right,female
0.251249095,0.160259783,490.3606002,1185,2036,1602.597831,0.063126108,0.251249095,1.543369925,-1.279628041,-7.67785E-06,0.328962388,5.777240413,-0.000445331,Left,female
